time_sec,x,y,w,h
9.81,1259,570,87,224
9.844,1262,580,83,246
9.877,1262,566,87,213
9.911,1264,572,87,232
9.945,1265,575,84,238
9.978,1266,575,82,239
10.012,1268,579,79,240
10.046,1270,577,79,237
10.08,1271,579,80,237
10.113,1271,581,79,235
10.147,1272,582,79,236
10.181,1272,581,79,235
10.214,1273,584,79,232
10.248,1274,579,81,236
10.282,1275,583,80,236
10.316,1276,582,78,237
10.349,1276,580,79,227
10.383,1278,576,78,220
10.417,1279,572,80,217
10.45,1280,573,82,216
10.484,1279,569,83,225
10.518,1281,574,84,227
10.552,1281,580,82,237
10.585,1281,579,83,237
10.619,1281,577,83,239
10.653,1283,582,84,238
10.686,1283,579,84,239
10.72,1284,583,85,232
10.754,1285,583,84,230
10.788,1285,581,86,233
10.821,1285,582,85,229
10.855,1286,582,84,227
10.889,1286,584,83,227
10.922,1286,584,83,225
10.956,1287,583,82,230
10.99,1287,579,80,235
11.024,1287,579,81,238
11.057,1288,582,80,233
11.091,1289,581,80,236
11.125,1290,577,76,234
11.158,1289,577,75,229
11.192,1291,578,74,230
11.226,1291,577,72,232
11.26,1292,578,72,230
11.293,1294,577,74,233
11.327,1294,576,77,238
11.361,1296,576,76,240
11.394,1298,576,76,239
11.428,1300,578,78,236
11.462,1304,577,87,236
11.495,1308,576,88,238
11.529,1315,573,107,244
11.563,1321,579,111,235
11.597,1318,573,106,247
11.63,1318,577,96,241
11.664,1322,583,98,227
11.698,1320,582,98,232
11.731,1323,579,108,238
11.765,1325,577,109,240
11.799,1329,577,112,238
11.833,1328,578,123,237
11.866,922,621,74,159
11.9,1337,573,117,231
11.934,921,621,75,160
11.967,1363,563,76,241
12.001,1365,562,77,250
12.035,1372,561,83,252
12.069,1375,563,82,248
12.102,1374,507,77,141
12.237,1393,562,87,263
12.305,1402,564,92,268
12.338,1406,561,96,271
12.372,1411,567,103,259
12.507,1434,561,97,267
12.541,1441,564,95,263
12.574,1448,559,100,278
12.642,1454,550,102,291
12.675,1460,552,102,292
12.709,1464,551,107,288
12.743,1468,549,109,284
12.777,1473,550,109,287
12.81,1479,550,117,282
12.844,1481,548,113,277
12.878,1488,551,111,270
12.911,1496,551,121,280
12.945,1503,550,133,280
12.979,1508,551,130,286
13.012,1515,551,134,288
13.046,1518,552,130,290
13.08,1521,548,123,298
13.114,1525,547,117,301
13.147,1530,545,114,302
13.181,1531,543,109,304
13.215,1541,544,110,301
13.248,1544,535,112,329
13.282,1547,534,113,318
13.316,1552,532,101,305
13.383,1564,527,117,321
13.653,922,621,74,160
13.687,1637,523,171,356
13.72,921,621,75,160
13.788,921,621,75,159
13.855,1663,509,156,352
13.889,1668,510,161,361
13.923,1677,511,167,366
13.956,1682,508,164,371
13.99,1686,508,167,371
14.024,1690,508,164,373
14.058,1695,507,162,387
14.091,1704,509,166,384
14.125,1709,508,170,389
14.159,1714,508,172,382
14.192,1725,510,187,384
14.226,1730,510,191,383
14.26,1731,516,185,390
14.294,1734,512,185,400
14.327,1740,506,189,397
14.361,1744,509,179,395
14.395,1751,509,187,398
14.428,1758,504,197,403
14.462,1761,498,193,399
14.496,1766,495,200,414
14.529,1769,492,205,420
14.563,1782,481,225,421
14.597,1794,477,240,435
14.631,1790,481,229,427
14.664,1796,479,237,418
14.698,1797,481,232,424
14.732,1798,483,226,426
14.765,1801,483,229,432
14.799,1800,482,219,440
14.833,1806,482,221,439
14.867,1808,479,218,443
14.9,1811,481,214,433
14.934,1814,483,209,444
14.968,1818,413,204,311
15.001,1818,396,201,273
15.035,1818,480,200,434
15.069,1819,480,197,443
15.103,1821,478,195,444
15.136,1821,405,196,305
15.17,1822,479,194,448
15.204,1821,481,193,448
15.237,1823,482,191,444
15.271,1824,481,190,445
15.305,1824,480,191,453
15.339,1825,481,188,451
15.372,1825,480,190,452
15.406,1825,479,190,455
15.44,1825,479,190,455
15.473,1825,477,189,451
15.507,1824,477,189,449
15.541,1825,477,188,448
15.575,1826,476,188,449
15.608,1825,477,190,451
15.642,1825,480,189,452
15.676,1824,482,191,454
15.709,1823,482,190,452
15.743,921,621,75,160
15.777,1826,486,186,449
15.811,1823,389,187,267
15.844,1823,479,189,453
15.878,1825,383,185,254
15.912,1826,480,186,449
15.945,1826,479,186,456
15.979,1826,480,187,460
16.013,1826,479,185,456
16.046,1825,477,188,458
16.08,1823,476,188,460
16.114,1820,475,191,459
16.148,1811,471,179,440
16.181,1811,468,187,435
16.215,1805,467,182,431
16.249,1798,467,177,443
16.282,1796,469,182,431
16.518,921,621,75,160
16.687,1665,466,144,417
16.788,1641,471,144,412
16.822,1637,475,148,426
16.856,1627,479,151,431
16.889,1616,475,136,428
16.923,1614,473,155,421
